Flow,Period,All Nationalities,British,EU,Non-EU,None,None,None,None
Net,YE Jun 20,111000,-74000,70000,115000,None,None,None,None
Net,YE Sep 20,35000,-70000,45000,60000,None,None,None,None
Net,YE Dec 20,93000,-78000,70000,101000,None,None,None,None
Net,YE Mar 21,132000,-79000,61000,150000,None,None,None,None
Net,YE Jun 21,221000,-73000,68000,226000,None,None,None,None
Net,YE Sep 21,443000,14000,16000,413000,None,None,None,None
Net,YE Dec 21,466000,32000,-62000,496000,None,None,None,None
Net,YE Mar 22,526000,29000,-106000,603000,None,None,None,None
Net,YE Jun 22,607000,20000,-133000,720000,None,None,None,None
Net,YE Sep 22,709000,6000,-135000,839000,None,None,None,None
Net,YE Dec 22 P,745000,-4000,-123000,873000,None,None,None,None
Net,YE Mar 23 P,705000,-9000,-102000,817000,None,None,None,None
Net,YE Jun 23 P,672000,-10000,-86000,768000,None,None,None,None
